	identifier	created	modified	size	species	nauthors	ecephys	ophys	icephys	numberOfSubjects	numberOfFiles	has_related_pub
130	000409	2023-01-31 21:47:46.772688+00:00	2024-09-29 17:25:36.464925+00:00	33883982375637	House mouse	44	True	False	False	115.0	1576	True
131	000410	2023-02-07 02:10:45.942699+00:00	2023-09-05 22:27:22.299663+00:00	2802041975041	Rat	1	True	False	False	5.0	22	False
132	000411	2023-02-14 07:47:55.546111+00:00	2023-02-14 07:47:55.546128+00:00	232080	House mouse	1	True	False	False	1.0	1	False
133	000447	2023-02-17 18:04:07.516903+00:00	2023-02-17 18:04:07.516927+00:00	35480039952	Rat	3	True	False	False	5.0	5	True
134	000448	2023-02-17 18:25:05.767450+00:00	2023-03-15 16:22:11.774801+00:00	3173065152	Chinese hamster	4	False	False	False	18.0	18	False
135	000454	2023-03-02 21:52:11.686223+00:00	2023-03-02 23:05:04.788892+00:00	7401238168	House mouse	5	False	True	False	5.0	4	False
136	000458	2023-03-16 16:02:14.771820+00:00	2023-03-16 16:02:14.771845+00:00	361482309556	House mouse	7	True	False	False	23.0	24	True
137	000461	2023-03-18 15:51:51.664534+00:00	2023-03-19 00:42:42.551840+00:00	23369106	Dog	1	False	True	False	12.0	14	False
138	000462	2023-03-19 16:29:58.786560+00:00	2023-04-12 15:22:16.596405+00:00	6494591109	House mouse	1	False	False	False	14.0	14	False
139	000463	2023-03-23 01:45:58.892864+00:00	2023-09-18 18:14:32.875365+00:00	64199969632	Rat	4	True	False	False	4.0	29	False
140	000465	2023-03-24 01:50:09.368401+00:00	2023-05-25 04:49:41.133381+00:00	129066795249	Rat	1	True	False	False	4.0	36	False
141	000467	2023-03-27 19:57:24.404459+00:00	2023-07-03 14:50:22.779498+00:00	1262490250560	Clonal raider ant	1	False	True	False	22.0	14685	False
142	000469	2023-03-30 17:37:36.429935+00:00	2023-07-17 23:19:47.858875+00:00	9788560252	Human	8	True	False	False	21.0	41	False
143	000470	2023-04-02 10:24:42.776758+00:00	2023-04-02 10:24:42.776782+00:00	128199784	House mouse	1	False	False	False	1.0	1	False
144	000472	2023-04-06 19:58:28.232167+00:00	2024-02-01 18:24:48.985537+00:00	18442605394	C. elegans	5	False	True	False	10.0	10	False
145	000473	2023-04-12 14:12:01.809823+00:00	2023-04-12 14:12:01.809848+00:00	113558681447	House mouse	18	True	False	False	25.0	25	False
146	000481	2023-04-17 18:35:01.452343+00:00	2023-04-17 18:35:01.452360+00:00	6457880	Rabbit	1	True	False	False	1.0	2	False
147	000482	2023-04-18 02:06:34.582548+00:00	2023-04-18 02:26:07.197958+00:00	79941664	Rabbit	1	True	False	False	1.0	1	False
148	000483	2023-04-20 14:24:50.438334+00:00	2023-04-21 21:44:53.466059+00:00	695653683544	House mouse	2	False	True	False	20.0	128	False
149	000485	2023-04-20 20:32:52.514093+00:00	2023-04-20 20:32:52.514116+00:00	1299698178	Zebrafish	1	False	False	False	37.0	37	False
150	000488	2023-04-21 17:07:16.030644+00:00	2023-06-07 21:39:21.888674+00:00	61460302104	House mouse	5	False	True	False	14.0	43	False
151	000489	2023-04-21 18:50:06.335247+00:00	2023-04-21 18:50:06.335264+00:00	18594422294	Cattle	4	False	False	False	18.0	18	False
152	000491	2023-04-26 03:36:47.214653+00:00	2023-04-26 13:18:19.364750+00:00	5324803662	House mouse	4	False	True	False	9.0	14	False
153	000529	2023-05-03 19:36:12.264986+00:00	2023-05-03 19:36:12.265002+00:00	5265108	Rat	1	False	False	False	3.0	27	False
154	000535	2023-05-09 23:58:56.843461+00:00	2023-06-07 21:39:05.689189+00:00	6827396992	House mouse	6	False	True	False	15.0	115	False
155	000537	2023-05-10 13:47:21.630926+00:00	2023-05-10 20:04:34.720627+00:00	6440628584	Human	3	False	False	False	125.0	125	False
156	000538	2023-05-10 16:43:21.402593+00:00	2023-05-10 20:04:57.323867+00:00	1954273200	Human	3	False	False	False	11.0	11	False
157	000540	2023-05-11 21:01:04.628860+00:00	2023-05-11 21:01:04.628878+00:00	1003937347960	Rat	3	False	False	False	33.0	990	False
158	000541	2023-05-12 00:36:15.913485+00:00	2024-02-01 18:24:34.648554+00:00	30525162874	C. elegans	9	False	True	False	21.0	21	False
159	000544	2023-05-14 11:40:20.181078+00:00	2023-05-14 11:40:20.181095+00:00	971759812	House mouse	1	True	False	False	2.0	3	False
160	000545	2023-05-14 13:14:33.442291+00:00	2023-05-14 13:14:33.442311+00:00	190704	House mouse	1	False	False	False	1.0	1	False
161	000546	2023-05-15 16:19:45.680866+00:00	2023-05-15 16:19:45.680883+00:00	7785862944	House mouse	1	True	False	False	1.0	1	False
162	000547	2023-05-17 14:28:04.954369+00:00	2023-08-01 19:17:14.269910+00:00	17585558608	House mouse	7	False	True	False	9.0	70	False
163	000548	2023-05-18 19:57:30.449061+00:00	2023-05-18 19:57:30.449081+00:00	19823052053	Cattle	4	False	False	False	19.0	19	False
164	000549	2023-05-19 18:40:04.279670+00:00	2023-05-19 18:40:04.279688+00:00	40412790236	Cattle	4	False	False	False	25.0	26	False
165	000550	2023-05-19 19:34:37.088796+00:00	2023-05-19 19:34:37.088818+00:00	23579017779	Cattle	4	False	False	False	17.0	17	False
166	000552	2023-05-23 17:23:37.163308+00:00	2023-05-23 17:34:19.127841+00:00	1545387836482	House mouse	5	True	False	False	17.0	117	True
167	000554	2023-05-31 12:15:43.584820+00:00	2023-05-31 12:15:43.584837+00:00	129066795249	Rat	1	True	False	False	4.0	36	False
168	000559	2023-06-09 17:30:08.811501+00:00	2023-12-10 16:16:54.103512+00:00	14753252327642	Human	25	False	False	False	69.0	4425	True
169	000565	2023-06-17 01:48:24.158039+00:00	2024-03-20 22:31:51.972802+00:00	46250221065	C. elegans	3	False	True	False	21.0	21	False
170	000566	2023-06-19 00:03:34.728513+00:00	2023-06-19 20:21:17.103854+00:00	631788071	Fruit fly	1	False	True	False	1.0	1	False
171	000568	2023-06-28 15:39:24.241528+00:00	2023-06-28 15:40:05.500042+00:00	904756915175	House mouse	5	True	False	False	4.0	138	True
172	000569	2023-06-28 23:52:27.567158+00:00	2023-07-05 17:43:05.182552+00:00	5622625870	Pigtail macaque	5	False	False	True	9.0	103	False
